id,app,content,score,timestamp,aspects,opinions,sentiments,categories,mapped_categories
17,Al Habib,"I am disappointed, it's gives problems off and on. Now since 2 days I am unable to perform a transaction. initial login is ok but when I go in transfers, first it shows no accounts available, and then they appear but when I proceed for transfer further, it shows we are unable to perform this transaction at the moment. please contact your bank for further information.",3,09/07/2025 8:59,['NULL'],['disappointed'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
18,Al Habib,not useful features,1,08/07/2025 21:39,['NULL'],['not useful'],['negative'],['LAPTOP#USABILITY'],['APP#USABILITY']
19,Al Habib,Worst mobile banking app i have ever seen. Outdated and slow. No upgradation for last 6 years(maybe more than that). No finger biometric option. Old OTP that takes 10 minutes to wait. The aap auto restart when we go to email for OTP.,1,08/07/2025 20:48,"['mobile banking app', 'finger biometric option', 'oTP']","['Worst', 'No', 'takes 10 minutes to wait']","['negative', 'negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#FEATURES', 'APP#PERFORMANCE', 'APP#PERFORMANCE']"
20,Al Habib,why is this app not working it is urgent please look at this matter,1,08/07/2025 12:49,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
21,Al Habib,great,5,08/07/2025 12:16,['NULL'],['great'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
22,Al Habib,very bold and slow app .no need star to this app,1,08/07/2025 10:40,['app'],['bold'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
23,Al Habib,good 👍,5,08/07/2025 1:33,['NULL'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
24,Al Habib,"I am extremely disappointed with the substandard performance of the Bank AL Habib mobile application.Bank AL Habib Limited On two separate occasions this week, my valid username and password were not recognized by the system. When I attempted to reset my password, my account was subsequently blocked. Despite contacting the helpline and having the account reactivated, the same issue persisted upon my next login attempt. Additionally, the biometric fingerprint login feature consistently disabled",1,08/07/2025 1:20,"['Bank AL Habib mobile application', 'biometric fingerprint login feature']","['substandard performance', 'disabled']","['negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'APP#PERFORMANCE']"
25,Al Habib,slow performance often,5,07/07/2025 23:02,['NULL'],['slow'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
26,Al Habib,"Update something, smooth it out, it's the same old features.",2,07/07/2025 20:24,['NULL'],['NULL'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
27,Al Habib,Sab se gandi or third class service h enki sb se fuzol tareef bank h ye fee sb se ziyada highe h Lekin sb se bekar h,1,07/07/2025 19:54,['service'],['third class'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
28,Al Habib,nice,5,07/07/2025 19:38,['NULL'],['nice'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
29,Al Habib,"I’m very disappointed with the Al Habib Bank mobile application. The overall performance is extremely slow, making even the simplest tasks frustrating and time-consuming. In today’s digital world, where people expect fast and efficient mobile banking, Al Habib’s app feels far behind.",1,07/07/2025 16:36,"['Al Habib Bank mobile application', 'overall performance', 'easy tasks', 'time-consuming']","['disappointed', 'slow', 'frustrating', 'frustrating']","['negative', 'negative', 'negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'OS#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'SYSTEM#PERFORMANCE', 'APP#PERFORMANCE', 'APP#PERFORMANCE']"
30,Al Habib,worst digital app ever... using it for last 2 years..stuck any time the biggest trouble is no time and date schedule for banks statement..,1,07/07/2025 15:46,['digital app'],['worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
31,Al Habib,"horrible app, usually the link is down.",1,07/07/2025 14:03,['app'],['horrible'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
32,Al Habib,Always errors and problems,1,07/07/2025 12:49,['NULL'],['errors'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
33,Al Habib,worst banking app,1,07/07/2025 1:32,['banking app'],['worst'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
34,Al Habib,Bad experience in customer care 3days still my issue not resolved I'm using mobile banking app such a losses services my mobile balance almost 2k decetion for 3days bank al habib customer service such a cheap,1,06/07/2025 21:01,['customer care'],['Bad experience'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
35,Al Habib,Crashing repeatedly since the start of July. Biometrics get disabled automatically. Was working fine till end of June,1,06/07/2025 20:28,['Biometrics'],['fine'],['negative'],['HARDWARE#OPERATION_PERFORMANCE'],['BIOMETRIC#PERFORMANCE']
36,Al Habib,good app,5,06/07/2025 13:01,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
37,Al Habib,biometric scanner hony k bad bhi ap open nhi ho rhi ab kya masla hai,5,06/07/2025 5:21,['biometric scanner'],['NULL'],['negative'],['HARDWARE#GENERAL'],['BIOMETRIC#GENERAL']
38,Al Habib,Worst banking App! I want to rate it even below 1 star.,1,05/07/2025 17:59,['banking App'],['Worst'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
39,Al Habib,GOOD app,5,05/07/2025 17:05,['app'],['GOOD'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
40,Al Habib,useless app I think this is the most useless app in the world.,1,05/07/2025 12:52,['app'],['useless'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
41,Al Habib,good,5,05/07/2025 9:09,['NULL'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
42,Al Habib,very bad app every time you login you have to provide password even touch id is enabled in the app it keeps getting reset,1,05/07/2025 6:37,['app'],['bad'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
43,Al Habib,Extremely disappointed. I think the bank should pay special attention to digital banking app as it is a necessity for people these days.,1,04/07/2025 15:40,"['bank', 'digital banking app']","['extremely disappointed', 'essence']","['negative', 'positive']","['SUPPORT#GENERAL', 'SOFTWARE#GENERAL']","['CUSTOMER_SUPPORT', 'APP#FEATURES']"
44,Al Habib,extremely slow its pro PTCL version banking app...,1,04/07/2025 1:41,['NULL'],['slow'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
45,Al Habib,excellent service,5,04/07/2025 0:38,['service'],['excellent'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
46,Al Habib,"aftet new update, whenever I m trying to open app it shows error",1,03/07/2025 21:38,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
47,Al Habib,Pathetic Banking App. I must say that bank also get pathetic mobile app bank.,1,03/07/2025 21:00,"['Banking App', 'mobile app bank']","['Pathetic', 'pathetic']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES']"
48,Al Habib,good app,5,03/07/2025 19:08,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
49,Al Habib,"even they don't deserve 1 start .. worst bank award goes to Al Habib. hamry area Mai female staff hi nh hai ..gents ki gents hoty k apna problem solve karny Mai time lg jta ,.. aj Tak Inka card nh chalaa in k atm Mai hamesha Mai meezan bank ja k paisy cash karvati .... I swear to God mri sb sy bari ghlti ink bank Mai account opened karwana tha..",1,03/07/2025 16:00,['bank'],['worst'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
50,Al Habib,Good bank,5,03/07/2025 13:57,['bank'],['Good'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
51,Al Habib,very bad experience of this app,1,03/07/2025 12:41,['app'],['bad'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
52,Al Habib,worst app and bank i have ever used.,1,03/07/2025 12:13,"['app', 'bank']","['worst', 'worst']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SUPPORT#GENERAL']","['APP#FEATURES', 'CUSTOMER_SUPPORT']"
53,Al Habib,pathetic experience. just opened the app and it stops providing option for biometric login. How it happens? Anyone here who is responsible for this loss??,1,03/07/2025 1:04,['app'],['pathetic'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
54,Al Habib,Worst... No customer service.,1,02/07/2025 21:54,['customer service'],['Worst'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
55,Al Habib,nice app,5,02/07/2025 21:27,['app'],['nice'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
56,Al Habib,sir kia waja h app work q ni krti kafi bar registration ki but failed why? already registered show h phr b open ni?,1,02/07/2025 18:41,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
57,Al Habib,"I'm very disappointed by using your mob bank app for couples for days as my app isn't working. when I tried to open it ,its shows ""ssl pinning failed"" what's wrong is that. kindly resolve the issue asap",1,02/07/2025 14:14,['mob bank app'],['disappointed'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
58,Al Habib,app not working fine,1,02/07/2025 13:07,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
59,Al Habib,I put correct Gmail which I use making bank account but it says its an error why,1,02/07/2025 12:42,['Gmail'],['correct'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
60,Al Habib,very bad experience I am using HBL from last 10year I did not face any issue. recently I open account in Bank AL Habib Every second day or on same day my account become looked in this week I call them almost 5time for activation. soon I will close my account.. not recommend the net banking to anyone,1,02/07/2025 7:30,['net banking'],['bad'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
61,Al Habib,nice app for Android users,5,02/07/2025 0:16,['app'],['nice'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
62,Al Habib,fast service..bank all Habib,5,02/07/2025 0:05,['service'],['fast'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
63,Al Habib,good,5,01/07/2025 21:53,['NULL'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
64,Al Habib,Error 404 haha wth. Still sucks in 2025. Haha can't even log in with new update,1,01/07/2025 17:31,['Error 404'],['sucks'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
65,Al Habib,very disappointed this mobile app when we need to use this app that time it's not working network problem user id or password problem i put the details which is correct but again same problems using this app very long time but this issue is not resolved very bad experience,1,01/07/2025 15:09,['mobile app'],['disappointed'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
66,Al Habib,after so many attempts I am still not able to update my password...I really need to us this app but I am stuck with the password,2,01/07/2025 14:47,['password'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
67,Al Habib,"v bad experience.i am very disappointed.even I have go to the Branch 5,6 times for help they asked now go home and start but I always failed. now I want to change the for reason.i can't afford to go bank daily or repeatly.",1,01/07/2025 14:43,['Branch'],['bad experience'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
68,Al Habib,"I wish I could give it a zero it just has random issues all the time and most of time, just doesn't work. Right now I am tried to login with my user name and password and it prompted wrong username or password so tried to login using my laptop and it said i need to have a 2 hour cool down timer after which I could login that's insane! but after half an hour i tried to login again using same laptop it just reset timer to next 2 hours so there seems no way I login into my account .",1,01/07/2025 13:34,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
69,Al Habib,i have been trying since yesterday to login to my account via mobile app and couldn't do so. The app is too slow and always glitches. please resolve the issue all my transactions are pending I have to transfer money to many people.,2,01/07/2025 13:26,['mobile app'],['slow'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
70,Al Habib,very bad app.,1,01/07/2025 13:05,['app'],['bad'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
71,Al Habib,why all of a sudden I cannot login using touch/ biometric. There is literally no option for this available.,1,01/07/2025 11:39,['touch/ biometric'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
72,Al Habib,"Assalamualaikum I'm facing an issue in Al Habib mobile app , as I forgot the password of my account, when I tried to reset it then due the the app's technical issues it didn't fix. Now when I try again I get a message that your account has been locked. I'm really frustrated with the issue I hope it will get resolved as soon as possiblr",1,01/07/2025 10:12,['Al Habib mobile app'],['frustrated'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
73,Al Habib,Kiya ghatia app hy install he nhai hoti jahalat lagain hue,1,01/07/2025 6:41,['app'],['NULL'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
74,Al Habib,So irretating bad 👎 experience fazooool tareeeeen app,1,30/06/2025 22:42,['app'],['bad'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
75,Al Habib,nice 👍🏻,3,30/06/2025 11:18,['NULL'],['nice'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
76,Al Habib,please add electricity bill fresco company all other company add but fresco is not show,3,30/06/2025 8:24,['NULL'],['NULL'],['negative'],['POWER_SUPPLY#GENERAL'],['UTILITIES#POWER_ISSUE']
77,Al Habib,"One of the worst applications. if your finger doesn't match by mistake while login, then it will lock your account forever.",1,30/06/2025 4:56,['NULL'],['worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
78,Al Habib,This app is good but you should introduce mobile easyload in this app.,5,29/06/2025 21:25,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
79,Al Habib,very good service,5,29/06/2025 19:59,['service'],['good'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
80,Al Habib,Takes too much time when loading and on entering valid credentials it keeps giving Error popup with no proper message.,3,29/06/2025 16:46,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
81,Al Habib,gud,5,29/06/2025 14:47,['gud'],['NULL'],['positive'],['RESTAURANT#GENERAL'],['LOCATION_FEEDBACK_MISC']
82,Al Habib,3rd class service,2,28/06/2025 21:15,['service'],['3rd class'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
83,Al Habib,such a basic app. there's not even an option to figure out what type of discounts the card provides,2,28/06/2025 20:55,['app'],['basic'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
84,Al Habib,worst app😐🫩,1,28/06/2025 19:20,['app'],['worst'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
85,Al Habib,always a problem while doing online,1,28/06/2025 14:07,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
86,Al Habib,bht hi fazool app hai login hi nhi hta shi pasword enter kro tb b invalid user name or pasword likha ata hai,1,28/06/2025 13:28,['app'],['NULL'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
87,Al Habib,pesco bill error why? 👎,1,28/06/2025 0:01,['pesco bill'],['NULL'],['negative'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
88,Al Habib,3rd class application & system. annual charges of this bank are more than HBL & meezan bank.,1,27/06/2025 21:49,['bank'],['NULL'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
89,Al Habib,good 👍👍👍😊😊😊,5,27/06/2025 20:15,['NULL'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
90,Al Habib,"Sir,al Habib Bank application is not working anymore, there is an error, what could be the problem, please guide me",5,27/06/2025 18:54,['al Habib Bank application'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
91,Al Habib,so poor !!! app not working properly not showing account balance and showing error and cannot transfer money again showing error just terrible app!!! worst banking app;!!!,1,27/06/2025 17:32,"['app', 'banking app']","['poor', 'worst']","['negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#PERFORMANCE', 'APP#PERFORMANCE']"
92,Al Habib,very nice application,5,27/06/2025 16:24,['application'],['nice'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
93,Al Habib,Why app is not working in vivo phone please solve this i am trying from 5 days,1,27/06/2025 13:24,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
94,Al Habib,my app not opening facing error I updated still facing problems,1,27/06/2025 12:47,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
95,Al Habib,"often stuck in the login screen, too many glitches",1,27/06/2025 10:36,['login screen'],['NULL'],['negative'],['OS#OPERATION_PERFORMANCE'],['SYSTEM#PERFORMANCE']
96,Al Habib,worst app ever .. takes 5 minutes just to login and each step is slower than before keeps giving error without reason,1,27/06/2025 0:44,['app'],['worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
97,Al Habib,good pa rformce,5,26/06/2025 19:57,['pa rformce'],['good'],['positive'],['RESTAURANT#GENERAL'],['LOCATION_FEEDBACK_MISC']
98,Al Habib,stestem not working,1,26/06/2025 19:01,['stestem'],['NULL'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
99,Al Habib,I am facing problem login app bank al habib.,1,26/06/2025 10:34,['login app bank al habib'],['NULL'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
100,Al Habib,excellent app,5,25/06/2025 23:26,['app'],['excellent'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
101,Al Habib,not able to login with the new mobile as nothing happened when I clicked on the perform biometric button ..,1,25/06/2025 18:40,['perform biometric button'],['NULL'],['negative'],['KEYBOARD#OPERATION_PERFORMANCE'],['BIOMETRIC#LOGIN_ISSUES']
102,Al Habib,Love this Application,5,25/06/2025 15:50,['Application'],['Love'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
103,Al Habib,What's wrong with the app since a day When i try to login the app it shows a pop up message and crashes I'm facing this problem and unable to do or receive transaction Plz solve this glitch of app. I have reinstalled apps many times but it is also not working,1,24/06/2025 18:44,['app'],['wrong'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
104,Al Habib,good app,5,24/06/2025 15:10,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
105,Al Habib,"cleared cache, reinstalled and after few hours , application was working. Thanks",4,24/06/2025 12:34,['NULL'],['NULL'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
106,Al Habib,"When I open the app, it prompts me to update. I click on the ""Update"" button, which takes me to the Google Play Store, but there is no update available—only the ""Uninstall"" and ""Open"" options are shown. When I click ""Open"" from the Play Store, the app launches again but shows the same update prompt. Unfortunately, there's no option to dismiss or skip the update popup, so I’m stuck in a loop and unable to use the app at all. -- Thanks to Bank Al Habib — the issue was resolved the very next day.",1,24/06/2025 11:55,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
107,Al Habib,good app,5,23/06/2025 18:54,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
108,Al Habib,"I'm extremely disappointed with the service at Bank Al Habib. Despite lodging two complaints, my issue remains unresolved. Unfortunately, and I'm still waiting for a response.",1,23/06/2025 15:42,['service'],['disappointed'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
109,Al Habib,nice,5,23/06/2025 13:58,['NULL'],['nice'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
110,Al Habib,Asalamo Alikam. kindly electricity bill mai fesco bill ka bi option ker dain. thanks,5,23/06/2025 13:37,['electricity bill'],['NULL'],['positive'],['POWER_SUPPLY#GENERAL'],['UTILITIES#POWER_ISSUE']
111,Al Habib,Al Habib App so good,5,23/06/2025 13:22,['Al Habib App'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
112,Al Habib,This third-class app always has account lock issues. It's extremely irritating and frustrating to use.,1,23/06/2025 13:01,['third-class app'],['irritating'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
113,Al Habib,very poor services. every process ask for pin. and you don't get otp for long time just to login the app. very very bad services.,1,23/06/2025 0:05,['services'],['poor'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
114,Al Habib,bad service. OTP to lait received,1,22/06/2025 22:48,['service'],['bad'],['negative'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
115,Al Habib,Alhamdulillah nothing doesn't get work when needed most. having transaction issues 7 out of 10 times. you guys just built it thinking it's 2001,1,22/06/2025 2:18,['NULL'],['NULL'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
116,Al Habib,ok,5,21/06/2025 21:54,['NULL'],['ok'],['neutral'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
117,Al Habib,"Bad bad experience.. outdated application slow and poor, helpline staff and banking staff are not cooperative..",1,21/06/2025 13:27,"['experience', 'outdated application', 'helpline staff', 'banking staff']","['Bad bad', 'slow and poor', 'not cooperative', 'not cooperative']","['negative', 'negative', 'negative', 'negative']","['SERVICE#GENERAL', 'SOFTWARE#OPERATION_PERFORMANCE', 'SERVICE#GENERAL', 'SERVICE#GENERAL']","['BRANCH_SERVICE', 'APP#PERFORMANCE', 'BRANCH_SERVICE', 'BRANCH_SERVICE']"
118,Al Habib,Pathetic experience. Tried to login again and again for almost a week but of no use. Pathetic!,1,20/06/2025 16:11,['login'],['Pathetic'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
119,Al Habib,very cheap app found thousand of problems in it first I found rechaptha problem and then email address I put say it is not in record what nonsense is 😡 I register my account first time so how they record or any else,1,20/06/2025 15:54,['app'],['cheap'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
120,Al Habib,This app is not installing in my Android phone. Why. solve this issue plzz,5,20/06/2025 7:37,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
121,Al Habib,Aby kis ne develop ki h ye app itna bara name h or Sali app Dekho bakwas me apny foreign acc we money transfer nahi KR parha hu other bank me ajeeb bakwas kachra application uper SE koi in comments p deyhan nahi deta,1,20/06/2025 0:34,['app'],['NULL'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
122,Al Habib,this app not open,1,19/06/2025 19:31,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
123,Al Habib,good,1,19/06/2025 18:37,['NULL'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
124,Al Habib,Beautiful,5,19/06/2025 12:26,['NULL'],['Beautiful'],['positive'],['LAPTOP#DESIGN_FEATURES'],['UI_UX#DESIGN']
