Id,app,category,sentiment,summary,aspects,opinions
88,Meezan Bank,LOCATION_FEEDBACK_MISC,positive,I love this branch zabar das nice. Meezan is best tez raftar very good mashaAllah,"BNAK, branch, mashaAllah, tez raftar, zabar das, Meezan","best, love, good, excellent, nice"
89,Meezan Bank,LOGIN_SECURITY_ISSUES,negative,"Even after scanning the correct ID card under full bright lighting conditions, I am getting an error that either the ID card is fake or lighting is low!",ID card,correct
90,Meezan Bank,PAYMENT#STUCK,negative,My payment has been stucked 6 times in two months. and every time it takes 10 days to get money back . I don't recommend this app. very Baad experience.,payment,Stucked
91,Meezan Bank,SYSTEM#DESIGN_FEATURES,positive,no dark mode,,
92,Meezan Bank,SYSTEM#PERFORMANCE,negative,The app has a terrible UI/UX and,load time,
93,Meezan Bank,SYSTEM#PERFORMANCE,positive,"The app runs smoothly without any bugs or crashes. I’d love to see a more modern, animated UI in future updates. The current font feels a bit outdated, so a Gen Z–friendly typeface would add freshness.",UI,modern
94,Meezan Bank,SYSTEM_UI,negative,The app has a terrible UI/UX and,UI/UX,pathetic
95,Meezan Bank,SYSTEM_UI,positive,Please! Renew the UI/UX,UI/UX,Renew
96,Meezan Bank,TAX_CHARGES_FEEDBACK,negative,"""I am student. please don't taken tax",tax,
97,Meezan Bank,UI_FONT#ISSUE,negative,"The app runs smoothly without any bugs or crashes. I’d love to see a more modern, animated UI in future updates. The current font feels a bit outdated, so a Gen Z–friendly typeface would add freshness.",genuine font,animated
98,Meezan Bank,UI_FONT#ISSUE,positive,"The app runs smoothly without any bugs or crashes. I’d love to see a more modern, animated UI in future updates. The current font feels a bit outdated, so a Gen Z–friendly typeface would add freshness.",typeface,outdated
99,Meezan Bank,UI_UX#DESIGN,positive," UI has been improved, but unfortunately, the app has become extremely slow. Even the login process takes much longer now. I tried to make transactions three times at different intervals using the Android version, but none of them went through. However, the same transactions worked instantly on the older iOS version.","design, UI","improved, delightful, beautiful"
100,Sunwai,ACCOUNT_RECOVERY#ISSUES,negative,"The app itself doesn't give you much option, and if you forget, the recovery/reset process is dysfunctional. SBP has zero backing for the client. As for complaints, they send your complaint to the bank it is against.",recovery/reset process,dysfunctional
101,Sunwai,APP#GENERAL_EXPERIENCE,positive,One of the best compliments medium... Great work.. Cheers Very helpful Highly recommend. Expect more improvements to come in future. It's take time but thanks that issue has been resolved Otp ee verify nhi ho rha.,"work, Amaing Features, medium, experience, improvements, luck, issue","best, recommend, Amaing, good, Expect more, Good, Best, Excellent, resolved, helpful"
102,Sunwai,APP#PERFORMANCE,neutral,Average app with routine and cler,app,Average
103,Sunwai,APP#PERFORMANCE,positive,Sunwai app is very good and easy way to solve your banking problem. Issue resolve in 15 days . Welldone app It's working well . Very good portal for us. Kindly add national saving banks in list . NSC not in listed .. thanks SBP has launched a wonderful app to address the issues of bank customers.,"app, app developer, state Bank application, application, portal","Great, Easy, good, help, Good, great potential, work properly without any corruption, Welldone, wonderful"
104,Sunwai,APP#QUALITY_FEEDBACK,negative,Sometimes number of complaints occurred some time not. Full,,baggy
105,Sunwai,APP#QUALITY_FEEDBACK,positive,Excellent condition,condition,Excellent
106,Sunwai,APP#USABILITY,positive,Easy to use and great for quick help! Easy to use easy to use. Very useful and very helpfull.,use,"useful, Easy"
107,Sunwai,APP#USABILITY_FEATURES,negative,App has so many issues. First UI color is not user friendly. After clicking the exist button user can still access tha dashboard without logging again. Third error msgs are not user understandabl Stone age app with third class interface and functionality.,app,"not user friendly, useless"
108,Sunwai,APP#USABILITY_FEATURES,positive,"Easy to use and very helpful app. Great application and also user-friendly. Very convenient to use, especially in urdu version. Nice experience using it. nice steps taken.","app, application, support, urdu version","Great, Nice, good, useful, user friendly, convenient, Useful, easy to use, nice"
109,Sunwai,BANK_REPUTATION,negative,A way for SBP to run away from their duties One can't even login to it. They close the tickets without resolving the actual issue. Another non performing dept deapite earning multi fold profits in 2024.,"SBP, organisation, complaint","corrupt, no result, shame, Terrible experience"
110,Sunwai,BANK_REPUTATION,positive,Good initiative from SBP. My complaint was resolved within 2 days. Hats off to you guys!! Loved the application it's very beneficial for the costomers.,"sbp, Sys bach ker Rahe logo, initiative, costomers, Sliw, sunwai","Nice, good, good job, Good, beneficial, Excellent"
111,Sunwai,BIOMETRIC#LOGIN_ISSUES,negative,Unable to reset my password since,password,Unable to reset
112,Sunwai,BRANCH_SERVICE,negative,"The app itself doesn't give you much option, and if you forget, the recovery/reset process is dysfunctional. As for complaints, they send your complaint to the bank it is against and if the bank close it, it's closed. SBP has zero backing for the client.","waiting department, SUNWAI APP TEAM, exp, HBL staff, management, service, response, service login, portal, Hal Hoga easypaisa, banking service","POOR, Worst, pathetic, complaint, sleeping, bad, Pathetic, Bad, close the complaint"
113,Sunwai,BRANCH_SERVICE,positive,My money had been stuck in easypaisa for several months and they were not giving any response. When I registered complaint against them on Sunwai I have got my money in just 2 days.,"work, initiative, help, Service, service, response, impressed, effective, experience, portal, initiated","Great, Amazing, good, Good, amazing, reliable, highly, Excellent, easy to use, great"
114,Sunwai,CAMERA#PERFORMANCE,negative,Unable to add images/attachment or open camera even,camera,
115,Sunwai,CNIC#RELATED_FEEDBACK,negative,"""Can't even sign up, because last is mandatory and I have have single name on my",CNIC,
116,Sunwai,COMPLAINT_PORTAL#FUNCTIONALITY,positive,Complaint resolved on time. Very good,SBP,good
117,Sunwai,CUSTOMER_SUPPORT,positive,My Easy Paisa account was blocked since 15 months My account was unblocked after complaining on Sunwai app Thanks State Bank Pakistan Good work State Bank Complaint has been registered.,"state bank of Pakistan, branchless banking, State Bank, SBP, state bank of pakistan, satate bank of Pakistan, easy pesa helpline, Complaint, State Bank Pakistan, govt of pakistan","Thanks, Good work, quick response, great work, can't complain, good initiative, registered, resolved, get my money back, Excellent work"
118,Sunwai,DEVICE#PERFORMANCE,negative,"One time signin every time shoe authentication error without authenticating. Successfully complain resolved Not working, wasting time Very slow and confusing Use less Not working",unit,"Didn't Work properly, slow, Not working, complain, less"
119,Sunwai,DEVICE#PERFORMANCE,positive,My complaint solved only in one day. Highly impressed Worked as per required inputs so far. Very,complaint,effective
120,Sunwai,DIGITAL_CURRENCY_FEEDBACK,negative,Ham to yah chahte Hain ki hamara Pakistan digital currency mein change ho jaaye Jaise ke Raat ID QR code aur merchant machine POS for business shop ke paas honi chahiye.,Pakistan digital currency,
121,Sunwai,ENVIRONMENT_FEEDBACK,positive,very bed,bed,
122,Sunwai,LOCATION_FEEDBACK_MISC,negative,The name of my city Dera Ismail Khan is not in the city name list. When select bank no cities option pop up.? Even unable to select bank city Listed Cities Names are not according to Actual Bank Branches Cities.,"GT Road, Dera Ismail Khan, bakwas, Listed Cities Names, Baad Experince, UBL branch Wah Model Town, Koi Sharam kar lo Complaint Resolved karte ho nahin, lodge, bank city","not according to Actual Bank Branches Cities, missing, unable to select, complaint, bad"
123,Sunwai,LOCATION_FEEDBACK_MISC,positive,Allahamdulillah problem solved Vehari city add hi nhi kiya or search option dalo jb city ko select krna ho to search kr k find kr skyn Bekaaar Sign up me hee masla he aagay konse teer maare gi.,"Vehari city, hee masla, Allahamdulillah",problem solved
124,Sunwai,LOGIN_SECURITY_ISSUES,negative,"Third class interface, no way to register, ambiguous password requirement, no proper flow, an IT professional was unable to register. Why can't Government institutes higher professionals to develop their apps as private institutions do? Doesnt accept the password (fullfilled all requirements) during signup...","password requirement, password",ambiguous
125,Sunwai,MISC#APP_FEEDBACK,negative,Raast id ke bare main complaint k,kese karni hai,complaint
126,Sunwai,MISC#APP_FEEDBACK,positive,"Kuch ni hoga sb fazol hai Easy Paisa Jaz cash. Aur chain destibute ka option be add kro. Very good for, easy paisa, bank account I'd.","paisa, sb fazol hai, Paisa Jaz cash","Kuch ni hoga, easy, Easy"
127,Sunwai,PASSWORD#FORMAT_ISSUES,negative,PASSwORD FORGET KRNY PY Sari information B Dy di Next setup py Error ajata ha Invalid Details Ab btaye kia kry This is extremely poor application. The Password need to be in specific format. The one time code doesn't always work.,"Password, 4bar pasword, PASSwORD, lineNumber",need to be in specific format
128,Sunwai,PASSWORD#FORMAT_ISSUES,positive,"""org.sax.SAXParseException; lineNumber: 7; columnNumber: 58; The character reference must end with the delimiter."" facing this error and can't",columnNumber,
129,Sunwai,SCREEN#GENERAL_FEEDBACK,negative,My jazz cash account was suspended from April 2020. My issue was not resolved by bank after to many times visited bank. Butt after lunching complaint on Sunwai my account is activated now. It takes some time about 3 months.,issue,not resolved
130,Sunwai,SCREEN#GENERAL_FEEDBACK,positive,Perfect resolution,resolution,Perfect
131,Sunwai,SCREEN#ISSUES,negative,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery,"picture, screen",Not working
132,Sunwai,SMS#OTP_ISSUE,negative,"Not getting OTP on SMS and it takes 5 minutes to get OTP in Email. Other than that, salute to the SBP people who thought about doing this for our convenience and managing the complains efficiently. God bless you.",SMS,Not getting OTP on
133,Sunwai,SUPPORT#RESPONSE,positive,Quick response and guaranteed issues solution here. Quick response and guarantee solution here,"response, guaranteed issues",Quick
134,Sunwai,SYSTEM#PERFORMANCE,negative,Otp is not working,Otp,not working
135,Sunwai,SYSTEM_UI,negative,"Unable to scroll down complaint data, I have written a brief data in my complaint but when I open it from 3 line button, it doesn't scroll down. Unable to Add images/attachment even permission is allowed manually.",Pixel 5 (redfin) OS Version : Android 14 June Security Patch, Android 14 June Security Patch:NULL
136,Sunwai,SYSTEM_UI,positive,Succesaf,UI,friendly
137,Sunwai,UI_COLOR#USABILITY,negative,First UI color is not user friendly. 2nd after clicking the exist button user can still access tha dashboard without logging again. Third error msgs are not user understandabl.,UI color,not user friendly
